1.363-2.9834i,1.0138-0.21597i,1.096+0.35114i,0.80749-0.44574i,0.9218+2.2563i,0.87352-2.1285i,0.96152+2.2015i,0.87862-0.57427i,1.0595+0.21032i,1.0455-0.31487i,1.3577-3.0347i,0.74541+0.28277i,0.83103+1.0056i,1.121+1.1168i,1.0055-0.60757i,1.275+0.26541i,0.96349-1.4001i,0.97037-1.2321i,0.91285-1.3586i,1.0059-1.1595i,1.2244+0.3849i,1.0561-0.34176i,0.97127+1.323i,0.79664+1.0356i
0.79879+1.0288i,0.97034+1.3137i,1.0587-0.35248i,1.2263+0.38086i,1.0063-1.169i,0.91317-1.3528i,0.97148-1.2314i,0.96269-1.3873i,1.2751+0.26795i,1.0121-0.60321i,1.1232+1.1269i,0.83293+1.01i,0.80885+0.97788i,1.3574-3.0344i,1.0462-0.32212i,1.0595+0.20441i,0.87932-0.57346i,0.96663+2.1994i,0.87186-2.1239i,0.91903+2.2652i,0.80261-0.44394i,1.1033+0.35782i,1.0128-0.20445i,1.3603-2.9756i
1.0791+0.078485i,1.1202-2.8253i,0.92293-0.09661i,1.2123+0.23213i,0.76785-0.41747i,0.77826+2.2896i,0.80233-2.0698i,0.8364+2.3532i,1.009-0.44169i,1.0083+0.1425i,0.99919-0.097738i,1.1228-2.96i,1.0802+0.082239i,1.1005-2.8914i,0.94559+1.2i,1.0762-0.48843i,1.2156+0.27156i,1.0329-1.2985i,0.91505-1.3518i,0.97572-1.2475i,0.92349-1.261i,1.2985+0.3764i,0.95525-0.45185i,1.1406+1.2273i
1.0132+0.79648i,1.1581+0.77412i,1.1054+1.1174i,0.9701-0.34077i,1.042+0.25405i,0.85176-1.0561i,0.87723-1.3341i,1.0478-1.0645i,0.85251-1.4634i,1.2859+0.13996i,0.88594-0.46945i,1.1465+1.0766i,1.0207+0.75267i,1.1581+0.81118i,1.0967+1.0048i,0.94519-0.22035i,1.1818+0.090904i,0.82936-0.55816i,0.81548+2.2279i,0.80029-2.0597i,0.78351+2.4471i,0.94435-0.31949i,1.0493+0.29462i,0.99679+0.023046i
0.98908-2.737i,1.0912+0.24882i,0.95736-2.8572i,0.95174-0.0076975i,1.0598+0.024135i,0.70416-0.05019i,0.60484+2.3261i,0.32278-1.8986i,0.60308+2.3107i,0.79655-0.30059i,0.97714-0.028626i,1.0164-0.087553i,0.97669-2.816i,1.0984+0.25229i,0.96158-2.7802i,0.95205-0.16342i,0.98089-0.49239i,1.047+0.12144i,0.85581-1.2171i,0.88985-1.3373i,1.0339-1.0662i,0.80709-1.3212i,1.2788+0.25443i,0.85073-0.29369i
1.095+1.0733i,0.89788+0.83094i,0.92826+0.89916i,1.0899+1.0754i,0.952-0.28707i,1.1097+0.20155i,0.91352-0.89157i,1.0028-0.88642i,1.1519-0.75185i,0.87094-1.0937i,1.1482+0.094181i,0.93309-0.39968i,1.0985+0.97004i,0.9087+0.79071i,0.93422+0.94534i,1.092+1.1872i,0.95053-0.46905i,1.0493-0.13119i,0.73079-0.23927i,0.64119+2.2388i,0.31679-1.8507i,0.53601+2.4338i,0.76074-0.12699i,0.99569+0.12657i
1.0027+0.12775i,1.0776-2.7182i,0.80751+0.15521i,1.0708-2.7639i,1.0072+0.057606i,1.0631+0.048509i,0.86156+0.0031735i,0.35692+1.9782i,0.17091-0.070266i,0.39287+1.9417i,0.86369-0.059077i,1.0424-0.021925i,0.99331-0.012054i,1.0712-2.794i,0.80585+0.14419i,1.0885-2.6967i,1.003+0.18358i,1.0366-0.1365i,1.1221+0.07261i,0.89892-1.0397i,1.0239-0.90049i,1.122-0.73588i,0.87997-0.93798i,1.1359+0.22649i
0.93544-0.19045i,1.0885+1.1376i,0.93066+0.92592i,0.89943+0.80541i,1.0969+1.0042i,0.92439-0.32237i,1.1381+0.15215i,0.86794-1.0218i,1.1341-0.74107i,1.0132-0.89324i,0.90767-0.95606i,1.1126+0.13977i,0.94693-0.3603i,1.0864+1.0422i,0.92795+0.89229i,0.88856+0.84488i,1.0932+1.1175i,0.91168-0.15582i,1.156-0.0037776i,0.87088-0.16524i,0.42678+1.8937i,0.1805-0.070107i,0.31422+2.0693i,0.86723+0.10206i
1.0696+0.10754i,0.95581+0.068227i,0.95348-2.8046i,1.0965+0.25703i,0.97752-2.779i,1.0225-0.033248i,0.99311+0.045135i,0.78013-0.22259i,0.56703+2.3558i,0.31851-1.8681i,0.6223+2.2942i,0.71135-0.13048i,1.0512-0.051865i,0.94822-0.073854i,0.96116-2.8866i,1.0901+0.24823i,0.99881-2.7071i,1.0135+0.09126i,0.99587+0.19991i,0.82911-0.42457i,0.87638-1.1842i,1.1578-0.76283i,0.98696-0.8812i,0.92895-0.81409i
1.0343+0.33468i,0.96202-0.24945i,1.1066+1.1722i,1.1522+0.79383i,1.0219+0.77117i,1.1518+1.1142i,0.86055-0.38699i,1.2782+0.19308i,0.82897-1.4098i,1.0365-1.0668i,0.88227-1.3391i,0.85408-1.1223i,1.0416+0.1904i,0.97408-0.41456i,1.1017+1.0753i,1.1662+0.76932i,1.0072+0.80573i,1.1609+1.2118i,0.84967-0.21443i,1.2635+0.30119i,0.8995-1.574i,0.63001+2.2616i,0.32252-1.8759i,0.57127+2.4077i
0.73078-0.33779i,1.2408+0.30348i,0.92909-0.0038045i,1.1202-2.7841i,1.0808+0.081856i,1.1209-2.9294i,1.0024-0.049739i,1.0303+0.2126i,0.98162-0.37728i,0.80912+2.3903i,0.79737-2.0562i,0.79614+2.2725i,0.79822-0.4927i,1.1969+0.16118i,0.93367-0.14649i,1.1115-2.8507i,1.0849+0.08065i,1.1254-2.8671i,0.98995+0.081265i,1.0678+0.36413i,0.91231-0.25342i,0.87487+2.2832i,1.0592-1.0725i,0.8673-1.3384i
0.99378-1.0871i,1.2279+0.44086i,1.0523-0.26524i,0.98227+1.3684i,0.79981+1.0586i,0.83928+1.0257i,1.135+1.1694i,0.97704-0.53557i,1.2924+0.32206i,0.9449-1.3364i,0.97391-1.2471i,0.91468-1.3595i,1.0244-1.2242i,1.2251+0.32927i,1.0642-0.40957i,0.9587+1.2649i,0.80114+1.005i,0.83916+1.0667i,1.1484+1.2584i,0.93856-0.38075i,1.2985+0.41855i,0.90555-1.1954i,0.97803-1.2405i,0.80265-2.0647i
